9/16/2024 1:49:27 | DEBUG | Profile.Load | Profile: "New Profile Copy Copy Copy" Successfully Deleted
9/16/2024 1:49:28 | DEBUG | Profile.Load | Profile: "New Profile Copy Copy Copy" Successfully Deleted
9/16/2024 1:49:29 | DEBUG | Profile.Load | Profile: "New Profile Copy Copy" Successfully Deleted
9/16/2024 1:49:30 | DEBUG | Profile.Load | Profile: "New Profile Copy" Successfully Deleted
9/16/2024 1:49:31 | DEBUG | Profile.Load | Profile: "New Profile Copy" Successfully Deleted
9/16/2024 1:49:33 | DEBUG | Profile.Load | Profile: "New Profile Copy" Successfully Deleted
9/16/2024 1:49:34 | DEBUG | Profile.Load | Profile: "New Profile Copy" Successfully Deleted
9/16/2024 1:49:37 | DEBUG | Profile.Load | Profile: "New Profile" Successfully Deleted
9/16/2024 1:49:49 | DEBUG | SaveAs | None
9/16/2024 1:49:49 | DEBUG | Profile.Load | Profile: "New Profile" Successfully Saved As
9/16/2024 1:49:49 | DEBUG | Profile.Load | Profile: "New Profile" Successfully Loaded
9/16/2024 1:49:53 | DEBUG | Profile.Load | Profile: "New Profile" Successfully Saved
9/16/2024 1:49:57 | DEBUG | Profile.Load | Profile: "New Profile" Successfully Copied
9/16/2024 1:49:59 | DEBUG | LoadProfileWindow.RenameButtonClick | TextBlock found. Converting to TextBox.
9/16/2024 1:50:03 | DEBUG | Profile.Load | Profile: "New Profile Copy" Successfully Renamed To: "Newest Profile"
9/16/2024 1:50:05 | DEBUG | Profile.Load | Profile: "Newest Profile" Successfully Loaded
9/16/2024 1:50:08 | DEBUG | Profile.Load | Profile: "Newest Profile" Successfully Saved
9/16/2024 1:50:10 | DEBUG | Profile.Load | Profile: "New Profile" Successfully Loaded
9/16/2024 1:50:13 | DEBUG | Profile.Load | Profile: "Newest Profile" Successfully Loaded
9/16/2024 1:50:19 | DEBUG | Profile.Load | Profile: "Newest Profile" Successfully Deleted
9/16/2024 1:50:21 | DEBUG | Profile.Load | Profile: "New Profile" Successfully Deleted
9/16/2024 1:50:24 | WARNING | MainWindow.SaveProfile | No Profile Loaded!
9/16/2024 1:50:24 | WARNING | MainWindow.SaveProfile | No Profile Loaded!
9/16/2024 1:50:35 | DEBUG | SaveAs | None
9/16/2024 1:50:35 | DEBUG | Profile.Load | Profile: "New Profile" Successfully Saved As
9/16/2024 1:50:35 | DEBUG | Profile.Load | Profile: "New Profile" Successfully Loaded
9/16/2024 1:50:42 | DEBUG | Profile.Load | Profile: "New Profile" Successfully Loaded
9/16/2024 1:50:46 | DEBUG | Profile.Load | Profile: "New Profile" Successfully Saved
9/16/2024 1:50:48 | DEBUG | Profile.Load | Profile: "New Profile" Successfully Saved
